σύντομα, σαλόνι, τυριού, πω, ανάμεσα, κι, μέγιστος, φιλάω, χρήσιμος, πρέπον, σκάλα, λέγοντας, κινητό, λέγομαι, μπροστινός, ωκεανία, γνώρισα, συνέβη, γρήγορα, συγγραφέας, πηγαίνοντας, υπογράφω, λανθασμένος, ή, γενικής, γαλάζια, υπερβολικά, ον, έφυγα, πανηγύρι, παίζω, αδύναμος, ξεχάσω, νότος, καπέλο, τελείως, βόρεια, σκο, χιλιόμετρο, νοέμβριος, νονά, άλλη, ερωτευμένος, ενός, ωρίων, δίνω, δωμάτιο, πια, αλυσίδα, ερπετό
κεφάλαιο, αναφέρθηκα, φτιαγμένος, φάρμακο, ραβδί, νόμιζα, τελετή, υποσχέσου, μπάσκετ, τέρμα, γόνατο, σοφός, άθροισμα, απόδειξη, τέχνη, χιονοθύελλα, βρέθηκα, δημόσιος, επί, γεωμετρία, πόλεμος, έτρεχα, θεά, εστία, δολάριο, στερεό, εκλεκτός, παγκόσμιος, προσοχή, πανεπιστήμιο, ευχαρίστηση, χρησιμοποιήσει, αρχίσει, επιχείρηση, έβλεπα, κομψός, γεμισμένος, πάρτι, μικρή, πάρει, στρια, καθόμουν, σταλθώ, μυώδης

capital, I mentioned, made, medicine, stick, I thought, ceremony, promise, basketball, goal, knee, wise, sum, evidence, art, blizzard, I found myself, public, on, geometry, war, ran, view, focus, dollar, solid, chosen, worldwide, caution, university, pleasure, use, start, business, I was seeing, elegant, filled, party, small, take, censor, I was sitting, send, muscular

αλληλεγγύη, κυβερνήτης, σχεδιάστηκα, πόντος, ίωση, ρινόκερος, φαντάστηκα, διαβασμένος, γαλαξίας, χρησιμοποιημένος, ντύσου, αέριο, εκμεταλλεύομαι, άμμος, πολιτικός, προώθηση, ιδεώδες, ηθική, ασχολούμαι, δελτίο, βάση, παζάρι, έρθω, εξάνθημα, αναζήτηση, υπουργείο, πείραμα, κλίμα, κουραστεί, γυμναστής, ακολουθήσει, κάτσε, ασχοληθώ, αντίσταση, πατάω, έπαιζα, αρνηθεί, δικτύωσης, σπαθί, επιστημονικός, ασήμι

solidarity, governor, I was designed, point, virus, rhino, Imagine, read, galaxy, used, get dressed, gas, take advantage of, sand, politician, promotion, ideal, morality, deal with, card, base, bazaar, come, skin rash, search, ministry, experiment, climate, tired, trainer, follow, sit, deal with, resistance, press, I was playing, refuses, networking, sword, scientific, silver

δικτατορία, ιδέα, ατάλαντος, σειρήνα, εργοστάσιο, σκιά, λογική, θυμόμουν, εξαφανίστηκα, ανακαλύπτομαι, σκηνή, θέση, εφευρίσκω, συνάντηση, έρθει, επισκεφτεί, μυς, γρηγορότερα, περίπτωση, αμφιβολία, χρειάστηκα, προπονητής, κριτήριο, απόλλωνας, ις, υγιής, ήρα, ισχυρός, θερμοκρασία, άκρη, προθεσμία, εμπειρία, μέλισσα, αποδεχτώ, χωράφι, δημοκρατία, δάσκαλος, κηδεία, σίδηρος, ψηφίο, νεκρός, περίπλοκος

dictatorship, idea, infertile, siren, factory, shadow, logic, I remembered, I disappeared, discover, scene, position, invent, meeting, come, visit, muscle, faster, case, doubt, I needed, coach, criterion, Apollo, mi, healthy, Hera, strong, temperature, edge, deadline, experience, bee, accept, field, democracy, teacher, funeral, iron, digit, dead, complicated

πρόγραμμα, καλόκαρδος, είδος, νικητής, δόντι, καθήκον, δεινόσαυρος, μαγειρεμένος, πονοκέφαλος, ποσότητα, πανοπλία, λεπτομέρεια, εξοπλισμός, καταπληκτικός, δεχτώ, μείον, επιτυχών, τελειώσω, παραγωγικότητα, καθηγητής, διαγώνισμα, συνάδελφος, χαρακτηριστικό, μακάρι, ταλέντο, διόνυσος, δεισιδαιμονία, κοιμηθεί, υλικό, εναντίον, αναγέννηση, ιστορία, νοσοκόμος, φυτό, άγγελος, διδακτορικό, ανταγωνιστής, απογοητεύτηκα, επιθ, χταπόδι, παραγωγή, μπω

program, tenderhearted, kind, winner, tooth, duty, dinosaur, cooked, headache, quantity, armor, detail, equipment, amazing, accept, less, successful, finish, productivity, professor, test, colleague, feature, I wish, talent, Dionysus, superstition, asleep, material, against, Renaissance, history, nurse, plant, angel, doctorate, antagonist, I was disappointed, abnormal, octopus, production, Enter

σπιτικός, απαισιόδοξος, σπουδάζω, έβρισκα, πεθαίνω, συναυλία, επίθεση, λόγος, ψηφίζω, οργανισμός, κουράστηκα, αγαθό, κιθάρα, μουσική, βρεθεί, ενέργεια, εικονικός, εκφράζω, μισθός, ιπποπόταμος, πολιτισμός, τραγούδι, απενεργοποίηση, φόβος, μέση, συνειδητοποιώ, δίχτυ, υπολογίζομαι, εμπιστεύσου, ερευνώ, δράση, υπομονετικός, μνημείο, έλεγα, αποδεχτεί, παράδεισος, ολυμπιακός, υποχρεωτικός, πει, δημιουργία, ηθελημένος, ανεργία, βέλος, κρίνω

homemade, pessimist, I am studying, I found, pass away, concert, attack, reason, vote, organization, got tired, good, guitar, music, found, energy, virtual, express, salary, hippopotamus, civilization, song, deactivation, fear, waist, consider, net, calculate, trust, research, action, patient, monument, I was saying, accept, paradise, Olympic, obligatory, say, creation, deliberate, unemployment, arrow, judge

παράνομος, λαιμός, φανώ, ελπίδα, νίκη, ψυχολογία, ποιητής, εξαφανιστεί, επιρ, χάπι, φεστιβάλ, συν, ρύπανση, πρωταγωνιστής, ακτίνα, αμυντικός, πορεία, διδασκαλία, ήτηση, στενός, μυστικό, επισκέφτηκα, φόρος, παντρεύομαι, καρεκλοπόδαρα, κεφάλι, άγιος, χαλάζι, νότα, άθλος, δεκαδικός, οικολογικός, πετοσφαίριση, ακουγόμουν, βασιλιάς, σπουδαίος, ομαδική, μοντέρνος, εκπαίδευση, βιολί, βαρεθεί, κατάλαβα

illegal, neck, seem, hope, win, psychology, poet, dissapeared, affect, pill, festival, plus, pollution, protagonist, Ray, defensive, course, teaching, request, narrow, secret, I visited, tax, getting married, chair, head, saint, hail, note, feat, decimal, ecological, volleyball, I was listening, king, great, group, modern, education, violin, bored, Understood

βόμβα, ερείπιο, ρωτούσα, σηκωνόμουν, ανυπόμονος, σπάνιος, κειμήλιο, πράξη, μονάδα, προβολή, ομάδα, είχε, μάζα, αγοράσει, βροχή, κόσμος, κάμπος, γεωργία, θυμήσου, άθλημα, βοσκός

bomb, ruin, ask, I was picking up, impatient, rare, heirloom, act, unit, projection, club, he had, mass, buy, rain, world, plain, Agriculture, Remember, sport, shepherd
